Softwarename	Publisher	LatUpdate	PCname
Security Update for Microsoft .NET Framework 4 Extended (KB2894842v2)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Extended (KB2901110v2)	Microsoft Corporation	21/11/2018	LEARN212
Security Update for Microsoft .NET Framework 4 Extended (KB3037578)	Microsoft Corporation	21/11/2018	LEARN212
Setup1	Vigilant Video	21/11/2018	LEARN212
Skype version 8.33	Skype Technologies S.A.	19/11/2018	THUYLINH443
Skype version 8.34	Skype Technologies S.A.	20/11/2018	THUYLINH443
Snagit 2018	TechSmith Corporation	20/11/2018	THUYLINH443
Sophos SSL VPN Client 2.1		20/11/2018	THUYLINH443
SQL Server 2017 Analysis Services	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 Batch Parser	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 Client Tools Extensions	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 Common Files	Microsoft Corporation	20/11/2018	THUYLINH443
SQL Server 2017 Connection Info	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 Database Engine Services	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 Database Engine Shared	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 DMF	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 Integration Services Scale Out Management Portal	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 Management Studio Extensions	Microsoft Corporation	21/11/2018	THUYLINH443
SQL Server 2017 Shared Management Objects	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 Shared Management Objects Extensions	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 SQL Diagnostics	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server 2017 XEvent	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server Browser for SQL Server 2014	Microsoft Corporation	21/11/2018	LEARN212
SQL Server Management Studio	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server Management Studio for Analysis Services	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server Management Studio for Reporting Services	Microsoft Corporation	23/11/2018	LEARN-APP204
SQL Server System CLR Types	Microsoft Corporation	20/11/2018	SRVDB52
SSMS Post Install Tasks	Microsoft Corporation	23/11/2018	LEARN-APP204
StatisticAutoReportEmailService	Vigilant Solutions	21/11/2018	LEARN202
TAS Client	Vigilant Solutions	21/11/2018	THUYLINH210
TeamViewer 13	TeamViewer	20/11/2018	THUYLINH443
TeamViewer 7	TeamViewer	21/11/2018	LEARN212
Total Commander 64-bit (Remove or Repair)	Ghisler Software GmbH	23/11/2018	LEARN-APP204
Update for  (KB2504637)	Microsoft Corporation	20/11/2018	THUYLINH443
Update for Microsoft .NET Framework 4 Client Profile (KB2468871)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft .NET Framework 4 Client Profile (KB2533523)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft .NET Framework 4 Client Profile (KB2600217)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft .NET Framework 4 Client Profile (KB2836939)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft .NET Framework 4 Client Profile (KB2836939v3)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft .NET Framework 4 Extended (KB2468871)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft .NET Framework 4 Extended (KB2533523)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft .NET Framework 4 Extended (KB2600217)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft .NET Framework 4 Extended (KB2836939)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft .NET Framework 4 Extended (KB2836939v3)	Microsoft Corporation	21/11/2018	LEARN212
Update for Microsoft Visual Studio 2015 (KB3095681)	Microsoft Corporation	20/11/2018	THUYLINH443
Update for Windows 10 for x64-based Systems (KB4023057)	Microsoft Corporation	23/11/2018	LEARN-APP204
VAutoCaleParking	Vigilant Solutions	21/11/2018	LEARN202
VAutoIPSAPI	Vigilant Solutions	21/11/2018	LEARN202
VAutoParkingMobile	Vigilant Solutions	21/11/2018	LEARN202
VAutoPayByPhone	Vigilant Solutions	21/11/2018	LEARN202
VAutoReportEL	Vigilant Solutions	21/11/2018	LEARN202
VAutoUnitedParkingSafety	Vigilant Solutions	21/11/2018	LEARN202
VAutoWhitelistAPI	Vigilant Solutions	21/11/2018	LEARN202
VBulkUserCreationService	Vigilant Solutions	21/11/2018	LEARN202
VCheckDigitalChalking	Vigilant Solutions	21/11/2018	LEARN202
VCheckingExpiration	Vigilant Solutions	21/11/2018	LEARN202
VCollectInfo Learn Servers	Vigilant Solutions	21/11/2018	LEARN212
vcpp_crt.redist.clickonce	Microsoft Corporation	20/11/2018	THUYLINH443
VDeleteImageInRecycleAmazon	Vigilant Solutions	21/11/2018	LEARN202
VDensityDataNVLS	Vigilant Solutions	21/11/2018	LEARN212
VDistributeDigitalChalking	Vigilant Solutions	21/11/2018	LEARN202
VDistributeWhitelist	Vigilant Solutions	21/11/2018	LEARN202
